DATEPRD,ON_STREAM_HRS,BORE_WI_VOL,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE
2007-09-01,,,,,
2007-09-02,,,,,
2007-09-03,,,,,
2007-09-04,,,,,
2007-09-05,,,,,
2007-09-06,,,,,
2007-09-07,,,,,
2007-09-08,,,,,
2007-09-09,,,,,
2007-09-10,,,,,
2007-09-11,,,,,
2007-09-12,,,,,
2007-09-13,,,,,
2007-09-14,,,,,
2007-09-15,,,,,
2007-09-16,,,,,
2007-09-17,,,,,
2007-09-18,,,,,
2007-09-19,,,,,
2007-09-20,,,,,
2007-09-21,,,,,
2007-09-22,,,,,
2007-09-23,,,,,
2007-09-24,,,,,
2007-09-25,,,,,
2007-09-26,,,,,
2007-09-27,,,,,
2007-09-28,,,,,
2007-09-29,,,,,
2007-09-30,,,,,
2007-10-01,,,,,
2007-10-02,,,,,
2007-10-03,,,,,
2007-10-04,,,,,
2007-10-05,,,,,
2007-10-06,,,,,
2007-10-07,,,,,
2007-10-08,,,,,
2007-10-09,,,,,
2007-10-10,,,,,
2007-10-11,,,,,
2007-10-12,,,,,
2007-10-13,,,,,
2007-10-14,,,,,
2007-10-15,,,,,
2007-10-16,,,,,
2007-10-17,,,,,
2007-10-18,,,,,
2007-10-19,,,,,
2007-10-20,,,,,
2007-10-21,,,,,
2007-10-22,,,,,
2007-10-23,,,,,
2007-10-24,,,,,
2007-10-25,,,,,
2007-10-26,,,,,
2007-10-27,,,,,
2007-10-28,,,,,
2007-10-29,,,,,
2007-10-30,,,,,
2007-10-31,,,,,
2007-11-01,,,,,
2007-11-02,,,,,
2007-11-03,,,,,
2007-11-04,,,,,
2007-11-05,,,,,
2007-11-06,,,,,
2007-11-07,,,,,
2007-11-08,,,,,
2007-11-09,,,,,
2007-11-10,,,,,
2007-11-11,,,,,
2007-11-12,,,,,
2007-11-13,,,,,
2007-11-14,,,,,
2007-11-15,,,,,
2007-11-16,,,,,
2007-11-17,,,,,
2007-11-18,,,,,
2007-11-19,,,,,
2007-11-20,,,,,
2007-11-21,,,,,
2007-11-22,,,,,
2007-11-23,,,,,
2007-11-24,,,,,
2007-11-25,,,,,
2007-11-26,,,,,
2007-11-27,,,,,
2007-11-28,,,,,
2007-11-29,,,,,
2007-11-30,,,,,
2007-12-01,,,,,
2007-12-02,,,,,
2007-12-03,,,,,
2007-12-04,,,,,
2007-12-05,,,,,
2007-12-06,,,,,
2007-12-07,,,,,
2007-12-08,,,,,
2007-12-09,,,,,
2007-12-10,,,,,
2007-12-11,,,,,
2007-12-12,,,,,
2007-12-13,,,,,
2007-12-14,,,,,
2007-12-15,,,,,
2007-12-16,,,,,
2007-12-17,,,,,
2007-12-18,,,,,
2007-12-19,,,,,
2007-12-20,,,,,
2007-12-21,,,,,
2007-12-22,,,,,
2007-12-23,,,,,
2007-12-24,,,,,
2007-12-25,,,,,
2007-12-26,,,,,
2007-12-27,,,,,
2007-12-28,,,,,
2007-12-29,,,,,
2007-12-30,,,,,
2007-12-31,,,,,
2008-01-01,0.0,,,,0.0
2008-01-02,0.0,,,,0.0
2008-01-03,0.0,,,,0.0
2008-01-04,0.0,,,,0.0
2008-01-05,0.0,,,,0.0
2008-01-06,0.0,,,,0.0
2008-01-07,0.0,,,,0.0
2008-01-08,0.0,,,,0.0
2008-01-09,0.0,,,,0.0
2008-01-10,0.0,,,,0.0
2008-01-11,0.0,,,,0.0
2008-01-12,0.0,,,,0.0
2008-01-13,0.0,,,,0.0
2008-01-14,0.0,,,,0.0
2008-01-15,0.0,,,,0.0
2008-01-16,0.0,,,,0.0
2008-01-17,0.0,,,,0.0
2008-01-18,0.0,,,,0.0
2008-01-19,0.0,,,,0.0
2008-01-20,0.0,,,,0.0
2008-01-21,0.0,,,,0.0
2008-01-22,,,,,
2008-01-23,,,,,
2008-01-24,,,,,
2008-01-25,,,,,
2008-01-26,,,,,
2008-01-27,0.0,,,,
2008-01-28,,,,,
2008-01-29,,,,,
2008-01-30,,,,,
2008-01-31,,,,,
2008-02-01,0.0,,,,0.0
2008-02-02,0.0,,,,0.0
2008-02-03,0.0,,,,0.0
2008-02-04,0.0,,,,0.0
2008-02-05,0.0,,,,0.0
2008-02-06,0.0,,,,0.0
2008-02-07,0.0,,,,0.0
2008-02-08,0.0,,,,0.0
2008-02-09,0.0,,,,0.0
2008-02-10,0.0,,,,0.0
2008-02-11,0.0,,,,0.0
2008-02-12,0.0,,,,0.0
2008-02-13,0.0,,,,0.0
2008-02-14,0.0,,,,0.0
2008-02-15,0.0,,,,0.0
2008-02-16,0.0,,,,0.0
2008-02-17,0.0,,,,0.0
2008-02-18,0.0,,,,0.0
2008-02-19,0.0,,,,0.0
2008-02-20,0.0,,,,0.0
2008-02-21,,,,,
2008-02-22,0.0,,,,0.0
2008-02-23,0.0,,,,0.0
2008-02-24,0.0,,,,0.0
2008-02-25,0.0,,,,0.0
2008-02-26,0.0,,,,0.0
2008-02-27,0.0,,,,0.0
2008-02-28,0.0,,,,0.0
2008-02-29,0.0,,,,0.0
2008-03-01,0.0,,,,0.0
2008-03-02,0.0,,,,0.0
2008-03-03,0.0,,,,0.0
2008-03-04,0.0,,,,0.0
2008-03-05,0.0,,,,0.0
2008-03-06,0.0,,,,0.0
2008-03-07,0.0,,,,0.0
2008-03-08,0.0,,,,0.0
2008-03-09,0.0,,,,0.0
2008-03-10,0.0,,,,0.0
2008-03-11,0.0,,,,0.0
2008-03-12,0.0,,,,0.0
2008-03-13,0.0,,,,0.0
2008-03-14,0.0,,,,0.0
2008-03-15,0.0,,,,0.0
2008-03-16,0.0,,,,0.0
2008-03-17,0.0,,,,0.0
2008-03-18,0.0,,,,0.0
2008-03-19,0.0,,,,0.0
2008-03-20,0.0,,,,0.0
2008-03-21,0.0,,,,0.0
2008-03-22,0.0,,,,0.0
2008-03-23,0.0,,,,0.0
2008-03-24,0.0,,,,0.0
2008-03-25,0.0,,,,0.0
2008-03-26,0.0,,,,0.0
2008-03-27,0.0,,,,0.0
2008-03-28,0.0,,,,0.0
2008-03-29,0.0,,,,0.0
2008-03-30,0.0,,,,0.0
2008-03-31,0.0,,,,0.0
2008-04-01,0.0,,,,0.0
2008-04-02,0.0,,,,0.0
2008-04-03,0.0,,,,0.0
2008-04-04,0.0,,,,0.0
2008-04-05,0.0,,,,0.0
2008-04-06,0.0,,,,0.0
2008-04-07,0.0,,,,0.0
2008-04-08,0.0,,,,0.0
2008-04-09,0.0,,,,0.0
2008-04-10,0.0,,,,0.0
2008-04-11,0.0,,,,0.0
2008-04-12,0.0,,,,0.0
2008-04-13,0.0,,,,0.0
2008-04-14,0.0,,,,0.0
2008-04-15,0.0,,,,0.0
2008-04-16,0.0,,,,0.0
2008-04-17,0.0,,,,0.0
2008-04-18,0.0,,,,0.0
2008-04-19,0.0,,,,0.0
2008-04-20,0.0,,,,0.0
2008-04-21,0.0,,,,0.0
2008-04-22,0.0,,,,0.0
2008-04-23,10.0,166.0769025,,,0.0
2008-04-24,24.0,3565.065388541667,,,0.0
2008-04-25,24.0,6916.922637708333,,,0.0
2008-04-26,18.65,6617.815574210526,,,0.0
2008-04-27,15.95833,4507.0,,,0.0
2008-04-28,0.0,,,,0.0
2008-04-29,5.0,1450.0,,,0.0
2008-04-30,21.04167,6529.806390465116,,,0.0
2008-05-01,24.0,6999.033660833334,,,0.0
2008-05-02,23.23,6760.543202916667,,,0.0
2008-05-03,23.83333,7389.424170208333,,,0.0
2008-05-04,24.0,8000.0,,,0.0
2008-05-05,22.75,6491.986785,,,0.0
2008-05-06,24.0,7008.0,,,0.0
2008-05-07,24.0,7008.0,,,0.0
2008-05-08,24.0,7008.0,,,0.0
2008-05-09,24.0,7008.0,,,0.0
2008-05-10,24.0,7007.9517516666665,,,0.0
2008-05-11,24.0,7007.757904166667,,,0.0
2008-05-12,24.0,7008.0,,,0.0
2008-05-13,24.0,7008.0,,,0.0
2008-05-14,24.0,7004.708999375,,,0.0
2008-05-15,24.0,7800.0,,,0.0
2008-05-16,24.0,7900.0,,,0.0
2008-05-17,24.0,8000.0,,,0.0
2008-05-18,24.0,8000.0,,,0.0
2008-05-19,24.0,8000.0,,,0.0
2008-05-20,24.0,8000.0,,,0.0
2008-05-21,24.0,8000.0,,,0.0
2008-05-22,24.0,7570.0,,,0.0
2008-05-23,24.0,6858.0,,,0.0
2008-05-24,24.0,6954.0,,,0.0
2008-05-25,24.0,7710.0,,,0.0
2008-05-26,24.0,7924.0,,,0.0
2008-05-27,24.0,7780.0,,,0.0
2008-05-28,24.0,7780.0,,,0.0
2008-05-29,24.0,7892.2,,,0.0
2008-05-30,20.19167,6459.5,,,0.0
2008-05-31,0.0,,,,0.0
2008-06-01,0.0,,,,0.0
2008-06-02,16.0,5000.0,,,0.0
2008-06-03,14.15,4280.0,,,0.0
2008-06-04,24.0,7825.0,,,0.0
2008-06-05,24.0,8000.0,,,0.0
2008-06-06,24.0,8000.0,,,0.0
2008-06-07,24.0,8000.0,,,0.0
2008-06-08,24.0,8000.0,,,0.0
2008-06-09,24.0,8000.0,,,0.0
2008-06-10,19.0,6185.0,,,0.0
2008-06-11,0.0,,,,0.0
2008-06-12,6.5,2013.0,,,0.0
2008-06-13,24.0,8250.0,,,0.0
2008-06-14,19.5,6593.90243902439,,,0.0
2008-06-15,24.0,9000.0,,,0.0
2008-06-16,24.0,8965.132476458333,,,0.0
2008-06-17,24.0,8976.113189791668,,,0.0
2008-06-18,24.0,8976.874175625,,,0.0
2008-06-19,24.0,8989.0,,,0.0
2008-06-20,21.16667,7477.072106363636,,,0.0
2008-06-21,24.0,8928.0,,,0.0
2008-06-22,24.0,8981.0,,,0.0
2008-06-23,24.0,9014.0,,,0.0
2008-06-24,24.0,9009.0,,,0.0
2008-06-25,21.66667,8432.732030666666,,,0.0
2008-06-26,18.5,6216.0,,,0.0
2008-06-27,24.0,8910.594299375,,,0.0
2008-06-28,7.83333,2520.0,,,0.0
2008-06-29,22.5,8250.113991875,,,0.0
2008-06-30,24.0,9011.119154791666,,,0.0
2008-07-01,20.66666,7488.0,,,0.0
2008-07-02,24.0,9129.0,,,0.0
2008-07-03,24.0,8523.4538425,,,0.0
2008-07-04,24.0,8101.79893875,,,0.0
2008-07-05,24.0,9168.0,,,0.0
2008-07-06,24.0,8830.0,,,0.0
2008-07-07,24.0,9259.0,,,0.0
2008-07-08,24.0,9259.3,,,0.0
2008-07-09,24.0,9250.0,,,0.0
2008-07-10,9.75,3575.0,,,0.0
2008-07-11,4.33333,1096.0,,,0.0
2008-07-12,1.58334,295.0,,,0.0
2008-07-13,0.0,0.0,,,0.0
2008-07-14,0.0,0.0,,,0.0
2008-07-15,9.975,2275.0,,,0.0
2008-07-16,24.0,9000.0,,,0.0
2008-07-17,24.0,9065.0,,,0.0
2008-07-18,24.0,9047.0,,,0.0
2008-07-19,24.0,9180.0,,,0.0
2008-07-20,24.0,9047.995757708333,,,0.0
2008-07-21,24.0,9155.0,,,
2008-07-22,24.0,9135.391205833332,,,0.0
2008-07-23,22.5,8498.0,,,0.0
2008-07-24,24.0,9203.95555125,,,0.0
2008-07-25,24.0,9176.599639791666,,,0.0
2008-07-26,24.0,9055.948426041665,,,0.0
2008-07-27,24.0,9254.862289375,,,0.0
2008-07-28,24.0,9274.249679583334,,,0.0
2008-07-29,24.0,9274.1074095,,,0.0
2008-07-30,24.0,9247.0,,,0.0
2008-07-31,24.0,9165.0,,,0.0
2008-08-01,24.0,9175.0,,,0.0
2008-08-02,24.0,9175.0,,,0.0
2008-08-03,24.0,9222.0,,,0.0
2008-08-04,24.0,9226.0,,,0.0
2008-08-05,24.0,7773.0,,,0.0
2008-08-06,7.69167,2788.0,,,0.0
2008-08-07,0.0,0.08816,,,0.0
2008-08-08,18.00001,1390.0,,,0.0
2008-08-09,24.0,9086.460449166667,,,0.0
2008-08-10,24.0,9308.681702083331,,,0.0
2008-08-11,23.8,8891.863747708334,,,0.0
2008-08-12,24.0,9009.0,,,0.0
2008-08-13,24.0,9010.529128958335,,,0.0
2008-08-14,24.0,9010.20468125,,,0.0
2008-08-15,24.0,9040.963516875,,,0.0
2008-08-16,24.0,9043.687362291666,,,0.0
2008-08-17,24.0,6834.2768325,,,0.0
2008-08-18,24.0,8943.28489625,,,0.0
2008-08-19,24.0,9051.583329375,,,0.0
2008-08-20,24.0,9085.493499583332,,,0.0
2008-08-21,24.0,7070.0,,,0.0
2008-08-22,24.0,9170.0,,,0.0
2008-08-23,24.0,8954.0,,,0.0
2008-08-24,24.0,9316.0,,,0.0
2008-08-25,24.0,9197.0,,,0.0
2008-08-26,23.0,7481.385117916666,,,0.0
2008-08-27,4.0,184.358870625,,,0.0
2008-08-28,18.20834,1591.8338635897435,,,0.0
2008-08-29,16.54167,1048.2893437142857,,,0.0
2008-08-30,24.0,2374.885975208333,,,0.0
2008-08-31,23.83333,2460.393416875,,,0.0
2008-09-01,24.0,2780.5043175,,,0.0
2008-09-02,21.9186,2596.0,,,0.0
2008-09-03,24.0,2834.862606041667,,,0.0
2008-09-04,24.0,2872.69657125,,,0.0
2008-09-05,24.0,3112.6209447916667,,,0.0
2008-09-06,21.04167,3184.266126976744,,,0.0
2008-09-07,0.0,,,,0.0
2008-09-08,23.125,1930.4326006382976,,,0.0
2008-09-09,21.14,2489.97340625,,,0.0
2008-09-10,24.0,3001.128544166667,,,0.0
2008-09-11,24.0,2987.3698535416665,,,0.0
2008-09-12,24.0,2920.7861972916667,,,0.0
2008-09-13,24.0,3016.9249533333327,,,0.0
2008-09-14,24.0,3521.0,,,0.0
2008-09-15,16.21203,2279.0,,,0.0
2008-09-16,0.0,,,,0.0
2008-09-17,0.0,,,,0.0
2008-09-18,0.0,,,,0.0
2008-09-19,10.95833,134.0,,,0.0
2008-09-20,24.0,2736.500904583333,,,0.0
2008-09-21,4.33333,697.0,,,0.0
2008-09-22,18.375,6153.0,,,0.0
2008-09-23,23.45833,4141.395318125,,,0.0
2008-09-24,22.08333,2871.6611,,,0.0
2008-09-25,22.16667,3639.786803260869,,,0.0
2008-09-26,24.0,8345.63327,,,0.0
2008-09-27,17.33333,7498.942547777778,,,0.0
2008-09-28,24.0,7735.515602083335,,,0.0
2008-09-29,24.0,7615.17536125,,,0.0
2008-09-30,24.0,7487.124237291667,,,0.0
2008-10-01,24.0,7918.530945625,,,0.0
2008-10-02,23.75,7373.792126041667,,,0.0
2008-10-03,24.0,8292.91590833333,,,0.0
2008-10-04,14.0,4307.0,,,0.0
2008-10-05,24.0,8479.706725625,,,0.0
2008-10-06,19.0,6364.0,,,0.0
2008-10-07,24.0,8030.5986477083325,,,0.0
2008-10-08,24.0,9013.506240625,,,0.0
2008-10-09,23.16666,7723.14044625,,,0.0
2008-10-10,23.08333,7672.530871875,,,0.0
2008-10-11,21.58334,6740.0,,,0.0
2008-10-12,24.0,8004.45794625,,,0.0
2008-10-13,24.0,9203.4078675,,,0.0
2008-10-14,24.0,9207.13887041667,,,0.0
2008-10-15,24.0,9092.06919875,,,0.0
2008-10-16,24.0,9093.49755875,,,0.0
2008-10-17,23.66667,5929.36,,,0.0
2008-10-18,24.0,6325.323386875,,,0.0
2008-10-19,24.0,8012.017028,,,0.0
2008-10-20,22.0,7353.4121326,,,0.0
2008-10-21,24.0,6204.0,,,0.0
2008-10-22,24.0,7344.0,,,0.0
2008-10-23,20.0,7283.0,,,0.0
2008-10-24,24.0,8250.0,,,0.0
2008-10-25,24.0,8469.0,,,0.0
2008-10-26,25.0,8783.0,,,0.0
2008-10-27,21.66666,7958.0,,,0.0
2008-10-28,24.0,7987.0,,,0.0
2008-10-29,17.5,5882.0,,,0.0
2008-10-30,15.50001,4451.0,,,0.0
2008-10-31,24.0,6756.0,,,0.0
2008-11-01,21.33333,6323.0,,,0.0
2008-11-02,24.0,6593.0,,,0.0
2008-11-03,24.0,7198.0,,,0.0
2008-11-04,24.0,7247.0,,,0.0
2008-11-05,24.0,6873.0,,,0.0
2008-11-06,24.0,6974.0,,,0.0
2008-11-07,24.0,7422.0,,,0.0
2008-11-08,24.0,7408.0,,,0.0
2008-11-09,24.0,7416.0,,,0.0
2008-11-10,24.0,7475.0,,,0.0
2008-11-11,24.0,7462.8,,,0.0
2008-11-12,24.0,7452.7,,,0.0
2008-11-13,24.0,7136.1,,,0.0
2008-11-14,24.0,7411.7,,,0.0
2008-11-15,20.16667,6002.5,,,0.0
2008-11-16,24.0,7150.2,,,0.0
2008-11-17,24.0,7176.0,,,0.0
2008-11-18,23.66667,6879.866899791667,,,0.0
2008-11-19,22.5,6942.446376739131,,,0.0
2008-11-20,24.0,8794.771331875,,,0.0
2008-11-21,24.0,8168.98960125,,,0.0
2008-11-22,24.0,6735.578952291667,,,0.0
2008-11-23,24.0,3471.9058754166667,,,0.0
2008-11-24,24.0,8960.397628541665,,,0.0
2008-11-25,24.0,8640.0,,,0.0
2008-11-26,24.0,8224.3425625,,,0.0
2008-11-27,24.0,8833.2,,,0.0
2008-11-28,24.0,8575.0,,,0.0
2008-11-29,24.0,8653.5,,,0.0
2008-11-30,24.0,8525.1,,,0.0
2008-12-01,24.0,8317.3,,,0.0
2008-12-02,24.0,8811.0,,,0.0
2008-12-03,24.0,8847.0,,,0.0
2008-12-04,24.0,8853.0,,,0.0
2008-12-05,24.0,8772.0,,,0.0
2008-12-06,24.0,8819.0,,,0.0
2008-12-07,24.0,8755.0,,,0.0
2008-12-08,24.0,6124.0,,,0.0
2008-12-09,24.0,8353.842369791666,,,0.0
2008-12-10,24.0,8226.730796666665,,,0.0
2008-12-11,24.0,7708.769489583335,,,0.0
2008-12-12,22.83333,8504.0,,,0.0
2008-12-13,24.0,8886.0,,,0.0
2008-12-14,23.83333,8329.0,,,0.0
2008-12-15,24.0,8780.0,,,0.0
2008-12-16,24.0,8655.0,,,0.0
2008-12-17,24.0,8578.0,,,0.0
2008-12-18,24.0,8730.0,,,0.0
2008-12-19,24.0,8736.0,,,0.0
2008-12-20,24.0,8690.0,,,0.0
2008-12-21,24.0,8295.0,,,0.0
2008-12-22,24.0,8671.0,,,0.0
2008-12-23,24.0,8221.6,,,0.0
2008-12-24,24.0,8609.2,,,0.0
2008-12-25,24.0,8755.3,,,0.0
2008-12-26,24.0,8628.4,,,0.0
2008-12-27,24.0,8471.9,,,0.0
2008-12-28,24.0,8453.6,,,0.0
2008-12-29,24.0,8469.0,,,0.0
2008-12-30,24.0,8552.4,,,0.0
2008-12-31,24.0,8588.794021666665,,,0.0
2009-01-01,24.0,8521.0,,,0.0
2009-01-02,24.0,8460.342620625,,,0.0
2009-01-03,14.58333,4166.370830625,,,0.0
2009-01-04,24.0,8611.281204166668,,,0.0
2009-01-05,24.0,8756.5,,,0.0
2009-01-06,17.16666,5826.7,,,0.0
2009-01-07,24.0,7744.20893875,,,0.0
2009-01-08,24.0,8624.5,,,0.0
2009-01-09,24.0,8615.2,,,0.0
2009-01-10,24.0,8599.7,,,0.0
2009-01-11,24.0,8446.9,,,0.0
2009-01-12,23.83333,8214.95,,,0.0
2009-01-13,24.0,8599.0,,,0.0
2009-01-14,24.0,8593.0,,,0.0
2009-01-15,24.0,8527.0,,,0.0
2009-01-16,24.0,8581.0,,,0.0
2009-01-17,24.0,8503.0,,,0.0
2009-01-18,24.0,8702.0,,,0.0
2009-01-19,24.0,8748.0,,,0.0
2009-01-20,24.0,8739.0,,,0.0
2009-01-21,22.175,8141.0,,,0.0
2009-01-22,21.075,6742.0,,,0.0
2009-01-23,24.0,8481.0,,,0.0
2009-01-24,24.0,8541.45,,,0.0
2009-01-25,24.0,8644.1,,,0.0
2009-01-26,24.0,8543.7,,,0.0
2009-01-27,24.0,8502.0,,,0.0
2009-01-28,14.175,5119.0,,,0.0
2009-01-29,10.325,3449.0,,,0.0
2009-01-30,24.0,8494.0,,,0.0
2009-01-31,24.0,8423.0,,,0.0
2009-02-01,16.0,5688.0,,,0.0
2009-02-02,24.0,8396.0,,,0.0
2009-02-03,24.0,8542.2,,,0.0
2009-02-04,8.66667,3170.0,,,0.0
2009-02-05,24.0,8545.9,,,0.0
2009-02-06,24.0,8684.3,,,0.0
2009-02-07,24.0,8609.2,,,0.0
2009-02-08,24.0,8619.4,,,0.0
2009-02-09,24.0,6375.0,,,0.0
2009-02-10,24.0,8389.530716041667,,,0.0
2009-02-11,24.0,8161.05,,,0.0
2009-02-12,24.0,8142.0,,,0.0
2009-02-13,18.33333,6811.0,,,0.0
2009-02-14,24.0,8469.4,,,0.0
2009-02-15,24.0,8735.0,,,0.0
2009-02-16,20.66667,7789.0,,,0.0
2009-02-17,24.0,8427.2,,,0.0
2009-02-18,24.0,8200.7,,,0.0
2009-02-19,24.0,8435.1,,,0.0
2009-02-20,24.0,8277.0,,,0.0
2009-02-21,24.0,8346.0,,,0.0
2009-02-22,24.0,8086.3,,,0.0
2009-02-23,24.0,7714.4,,,0.0
2009-02-24,24.0,8205.0,,,0.0
2009-02-25,24.0,8100.0,,,0.0
2009-02-26,24.0,8054.0,,,0.0
2009-02-27,24.0,8063.0,,,0.0
2009-02-28,24.0,8098.0,,,0.0
2009-03-01,24.0,8054.0,,,0.0
2009-03-02,24.0,8025.0,,,0.0
2009-03-03,24.0,8369.468703333334,,,0.0
2009-03-04,20.91667,7915.2,,,0.0
2009-03-05,11.49999,4127.1,,,0.0
2009-03-06,24.0,7670.0,,,0.0
2009-03-07,11.35833,2516.0,,,0.0
2009-03-08,0.0,,,,0.0
2009-03-09,11.75,4009.0,,,0.0
2009-03-10,0.0,,,,0.0
2009-03-11,0.0,,,,0.0
2009-03-12,0.0,,,,0.0
2009-03-13,0.0,,,,0.0
2009-03-14,0.0,,,,0.0
2009-03-15,0.0,,,,0.0
2009-03-16,0.0,,,,0.0
2009-03-17,0.0,,,,0.0
2009-03-18,0.0,,,,0.0
2009-03-19,0.0,,,,0.0
2009-03-20,0.0,,,,0.0
2009-03-21,0.0,,,,0.0
2009-03-22,0.0,,,,0.0
2009-03-23,0.0,,,,0.0
2009-03-24,0.0,,,,0.0
2009-03-25,0.0,,,,0.0
2009-03-26,0.0,,,,0.0
2009-03-27,0.0,,,,0.0
2009-03-28,8.225,3015.0,,,0.0
2009-03-29,6.525,2770.0,,,0.0
2009-03-30,0.80833,197.0,,,0.0
2009-03-31,24.0,4520.2,,,0.0
2009-04-01,24.0,4140.0,,,0.0
2009-04-02,24.0,4105.25,,,0.0
2009-04-03,24.0,4136.45,,,0.0
2009-04-04,24.0,4324.2,,,0.0
2009-04-05,22.525,3789.1,,,0.0
2009-04-06,0.5,785.901945,,,0.0
2009-04-07,0.0,0.0,,,0.0
2009-04-08,20.85833,6091.0,,,0.0
2009-04-09,16.33333,3207.0,,,0.0
2009-04-10,0.30833,203.14398,,,0.0
2009-04-11,0.0,,,,0.0
2009-04-12,12.85833,2426.0,,,0.0
2009-04-13,24.0,4582.0,,,0.0
2009-04-14,24.0,3704.6,,,0.0
2009-04-15,3.975,704.9,,,0.0
2009-04-16,20.52501,3204.0,,,0.0
2009-04-17,24.0,4560.0,,,0.0
2009-04-18,13.14166,2300.0,,,0.0
2009-04-19,6.19167,1237.0,,,0.0
2009-04-20,24.0,4200.0,,,0.0
2009-04-21,24.0,4179.0,,,0.0
2009-04-22,18.58334,3219.0,,,0.0
2009-04-23,24.0,4199.0,,,0.0
2009-04-24,24.0,4158.0,,,0.0
2009-04-25,24.0,4188.0,,,0.0
2009-04-26,24.0,4249.0,,,0.0
2009-04-27,24.0,5257.0,,,0.0
2009-04-28,24.0,6012.0,,,0.0
2009-04-29,24.0,6377.6,,,0.0
2009-04-30,24.0,7020.2,,,0.0
2009-05-01,24.0,6883.8,,,0.0
2009-05-02,24.0,6903.3,,,0.0
2009-05-03,24.0,6952.2,,,0.0
2009-05-04,5.80833,1730.5,,,0.0
2009-05-05,11.69167,3318.4,,,0.0
2009-05-06,24.0,6266.7,,,0.0
2009-05-07,21.0,6801.1832,,,0.0
2009-05-08,24.0,7911.055625,,,0.0
2009-05-09,24.0,7913.0,,,0.0
2009-05-10,24.0,7941.350960416666,,,0.0
2009-05-11,24.0,7911.956771458333,,,0.0
2009-05-12,24.0,8032.7,,,0.0
2009-05-13,24.0,8217.0,,,0.0
2009-05-14,24.0,8404.08,,,0.0
2009-05-15,24.0,8435.5,,,0.0
2009-05-16,24.0,8424.98,,,0.0
2009-05-17,24.0,8439.55,,,0.0
2009-05-18,24.0,8391.88,,,0.0
2009-05-19,24.0,8110.0,,,0.0
2009-05-20,24.0,8449.0,,,0.0
2009-05-21,24.0,8437.0,,,0.0
2009-05-22,24.0,8258.0,,,0.0
2009-05-23,24.0,8370.0,,,0.0
2009-05-24,24.0,8450.0,,,0.0
2009-05-25,24.0,8393.0,,,0.0
2009-05-26,24.0,8428.5,,,0.0
2009-05-27,24.0,8497.0,,,0.0
2009-05-28,24.0,8468.0,,,0.0
2009-05-29,24.0,6837.0,,,0.0
2009-05-30,24.0,5917.0,,,0.0
2009-05-31,24.0,6009.459022916667,,,0.0
2009-06-01,23.5,6003.0,,,0.0
2009-06-02,24.0,6456.0,,,0.0
2009-06-03,24.0,4642.2473375,,,0.0
2009-06-04,24.0,3867.0,,,0.0
2009-06-05,24.0,3876.0,,,0.0
2009-06-06,18.48333,2859.6,,,0.0
2009-06-07,24.0,3800.0,,,0.0
2009-06-08,24.0,3802.0,,,0.0
2009-06-09,24.0,3744.4,,,0.0
2009-06-10,24.0,3993.5,,,0.0
2009-06-11,20.83333,3429.2,,,0.0
2009-06-12,24.0,3780.8,,,0.0
2009-06-13,21.33333,3319.0,,,0.0
2009-06-14,13.05833,2593.7,,,0.0
2009-06-15,17.44167,2937.4,,,0.0
2009-06-16,24.0,3910.0,,,0.0
2009-06-17,24.0,4148.0,,,0.0
