DEPTH,ROP,RPM,SWOB,TQA,HKLD,GRR
879.958,,,,,,
880.11,,,,,,
880.262,,,,,,
880.415,,,,,,
880.567,,,,,,
880.72,,,,,,
880.872,,,,,,
881.024,,,,,,
881.177,,,,,,
881.329,,,,,,
881.482,,,,,,
881.634,,,,,,
881.786,,,,,,
881.939,,,,,,
882.091,,,,,,
882.244,,,,,,
882.396,,,,,,
882.548,,,,,,
882.701,,,,,,
882.853,,,,,,
883.006,,,,,,
883.158,,,,,,
883.31,,,,,,
883.463,,,,,,
883.615,,,,,,
883.768,,,,,,
883.92,,,,,,
884.072,,,,,,
884.225,,,,,,
884.377,,,,,,
884.53,,,,,,
884.682,,,,,,
884.834,,,,,,
884.987,,,,,,
885.139,,,,,,
885.292,,,,,,
885.444,,,,,,
885.596,,,,,,
885.749,,,,,,
885.901,,,,,,
886.054,,,,,,
886.206,,,,,,
886.358,,,,,,
886.511,,,,,,
886.663,,,,,,
886.816,,,,,,
886.968,,,,,,
887.12,,,,,,
887.273,,,,,,
887.425,,,,,,
887.578,,,,,,
887.73,,,,,,
887.882,,,,,,
888.001,,,,,,
888.035,,,,,,
888.154,,,,,,
888.187,,,,,,
888.306,,,,,,
888.34,,,,,,
888.458,,,,,,
888.492,,,,,,
888.611,,,,,,
888.644,,,,,,
888.763,,,,,,
888.797,,,,,,
888.916,,,,,,
888.949,,,,,,
889.068,,,,,,
889.102,,,,,,
889.22,,,,,,
889.254,,,,,,
889.373,,,,,,
889.406,,,,,,
889.525,,,,,,
889.559,,,,,,
889.678,,,,,,
889.711,,,,,,
889.83,,,,,,
889.864,,,,,,
889.982,,,,,,
890.016,,,,,,
890.135,,,,,,
890.168,,,,,,
890.287,,,,,,
890.321,,,,,,
890.44,,,,,,
890.473,,,,,,
890.592,,,,,,
890.626,,,,,,
890.744,,,,,,
890.778,,,,,,
890.897,,,,,,
890.93,,,,,,
891.049,,,,,,
891.083,,,,,,
891.202,,,,,,
891.235,,,,,,
891.354,,,,,,
891.388,,,,,,
891.506,,,,,,
891.54,,,,,,
891.659,,,,,,
891.692,,,,,,
891.811,,,,,,
891.845,,,,,,
891.964,,,,,,
891.997,,,,,,
892.116,,,,,,
892.15,,,,,,
892.268,,,,,,
892.302,,,,,,
892.421,,,,,,
892.454,,,,,,
892.573,,,,,,
892.607,,,,,,
892.726,,,,,,
892.759,,,,,,
892.878,,,,,,
892.912,,,,,,
893.03,,,,,,
893.064,,,,,,
893.183,,,,,,
893.216,,,,,,
893.335,,,,,,
893.369,,,,,,
893.488,,,,,,
893.521,,,,,,
893.64,,,,,,
893.674,,,,,,
893.792,,,,,,
893.826,,,,,,
893.945,,,,,,
893.978,,,,,,
894.097,,,,,,
894.131,,,,,,
894.25,,,,,,
894.283,,,,,,
894.402,,,,,,
894.436,,,,,,
894.554,,,,,,
894.588,,,,,,
894.707,,,,,,
894.74,,,,,,
894.859,,,,,,
894.893,,,,,,
895.012,,,,,,
895.045,,,,,,
895.164,,,,,,
895.198,,,,,,
895.316,,,,,,
895.35,,,,,,
895.469,,,,,,
895.502,,,,,,
895.621,,,,,,
895.655,,,,,,
895.774,,,,,,
895.807,,,,,,
895.926,,,,,,
895.96,,,,,,
896.078,,,,,,
896.112,,,,,,
896.231,,,,,,
896.264,,,,,,
896.383,,,,,,
896.417,,,,,,
896.536,,,,,,
896.569,,,,,,
896.688,,,,,,
896.722,,,,,,
896.84,,,,,,
896.874,,,,,,
896.993,,,,,,
897.026,,,,,,
897.145,,,,,,
897.179,,,,,,
897.298,,,,,,
897.331,,,,,,
897.45,,,,,,
897.484,,,,,,
897.602,,,,,,
897.636,,,,,,
897.755,,,,,,
897.788,,,,,,
897.907,,,,,,
897.941,,,,,,
898.06,,,,,,
898.093,,,,,,
898.212,,,,,,
898.246,,,,,,
898.364,,,,,,
898.398,,,,,,
898.517,,,,,,
898.55,,,,,,
898.669,,,,,,
898.703,,,,,,
898.822,,,,,,
898.855,,,,,,
898.974,,,,,,
899.008,,,,,,
899.126,,,,,,
899.16,,,,,,35.2
899.279,,,,,,
899.312,,,,,,
899.431,,,,,,
899.465,,,,,,
899.584,,,,,,
899.617,,,,,,
899.736,,,,,,
899.77,,,,,,
899.888,,,,,,
899.922,,,,,,35.2
900.041,,,,,,
900.074,,0.0,10.9678635066,0.027116358966628,86.7359329914,
900.227,,0.0,11.0268305147,0.027116358966628,86.5771756619,
900.379,1838.465208,0.0,11.0268305147,0.027116358966628,86.5771756619,
900.532,1846.44792,0.0,11.1946596916,0.027116358966628,86.4048105613,
900.684,1863.748368,0.0,11.1946596916,0.027116358966628,86.4048105613,
900.836,1893.701064,0.0,11.3443451737,0.027116358966628,86.2551250792,
900.989,1920.032736,0.0,11.3352733263,0.027116358966628,86.2687328503,38.4
901.141,1889.375952,0.0,11.3352733263,0.027116358966628,86.2687328503,
901.294,1874.01708,0.0,11.2808422419,0.027116358966628,86.318628011,
901.446,1938.049464,0.0,11.2808422419,0.027116358966628,86.318628011,
901.598,1993.413336,0.0,11.6663957564,0.027116358966628,85.9330744965,
901.751,2011.204512,0.0,11.6663957564,0.027116358966628,85.9330744965,
901.903,1990.624416,0.0,11.1538363783,0.027116358966628,86.4456338746,
902.056,1950.052488,0.0,11.1538363783,0.027116358966628,86.4456338746,
902.208,1957.63896,0.0,11.4033121818,0.027116358966628,86.1961580711,
902.36,1981.160376,0.0,11.5847491298,0.027116358966628,86.0147211231,
902.513,1999.948248,0.0,11.5847491298,0.027116358966628,86.0147211231,
902.665,2004.248976,0.0,11.702683146,0.027116358966628,85.9013230306,
902.818,1967.883288,0.0,11.702683146,0.027116358966628,85.9013230306,
902.97,1953.469296,0.0,11.4940306558,0.027116358966628,86.1099755208,
903.122,1975.305168,0.0,11.4940306558,0.027116358966628,86.1099755208,
903.275,1996.967304,0.0,11.2626985471,0.027116358966628,86.3367717058,34.56
903.427,2012.359704,0.0,11.2626985471,0.027116358966628,86.3367717058,
903.58,1985.33004,0.0,11.4940306558,0.027116358966628,86.1054395971,
903.723,,,,,,
903.732,1950.820584,0.0,11.4849588084,0.027116358966628,86.1190473682,
903.884,1959.714648,0.0,11.4849588084,0.027116358966628,86.1190473682,
904.037,1977.5424,0.0,11.6210365194,0.027116358966628,85.9829696572,
904.189,1997.570808,0.0,11.6210365194,0.027116358966628,85.9829696572,
904.342,1996.79052,0.0,11.6255724431,0.027116358966628,85.9738978098,
904.494,1964.402472,0.0,11.6255724431,0.027116358966628,85.9738978098,
904.646,1969.837056,0.0,11.4577432662,0.027116358966628,86.1417269867,
904.799,2004.230688,0.0,11.4577432662,0.027116358966628,86.1417269867,
904.951,2020.695984,0.0,11.7389705356,0.027116358966628,85.8604997173,
905.104,2025.697752,0.0,11.6800035275,0.027116358966628,85.9194667254,
905.256,1987.515456,0.0,11.6800035275,0.027116358966628,85.9194667254,
905.408,1954.401984,0.0,12.1154522027,0.027116358966628,85.4885539739,
905.561,1974.847968,0.0,12.1154522027,0.027116358966628,85.4885539739,
905.713,1997.366592,0.0,12.4420387091,0.027116358966628,85.1574315438,
905.866,2012.737656,0.0,12.4420387091,0.027116358966628,85.1574315438,
906.018,2000.908368,0.0,12.2968891507,0.027116358966628,85.3071170259,
906.17,1965.0456,0.0,12.2968891507,0.027116358966628,85.3071170259,
906.323,1973.083176,0.0,12.745945597,0.027116358966628,84.8535246559,
906.475,2003.54184,0.0,12.745945597,0.027116358966628,84.8535246559,
906.628,2025.48744,0.0,12.9409903161,0.027116358966628,84.6584799368,
906.765,,,,,,
906.78,2038.529832,0.0,12.6733708178,0.027116358966628,84.9260994351,
906.932,2013.194856,0.0,12.6733708178,0.027116358966628,84.9260994351,
907.085,1996.955112,0.0,12.6506911993,0.027116358966628,84.9533149773,37.12
907.237,2023.122192,0.0,12.6506911993,0.027116358966628,84.9533149773,
907.39,2048.127984,0.0,12.5781164201,0.027116358966628,85.0258897565,
907.542,2061.304488,0.0,12.5781164201,0.027116358966628,85.0258897565,
907.694,2047.122144,0.0,12.5735804964,0.027116358966628,85.0304256802,
907.847,2007.943152,0.0,12.5735804964,0.027116358966628,85.0304256802,
907.999,2005.267008,0.0,12.8411999947,0.027116358966628,84.7582702582,
908.152,2026.331736,0.0,12.8411999947,0.027116358966628,84.7582702582,
908.304,2048.07312,0.0,12.8684155369,0.027116358966628,84.7355906397,
908.456,2066.470848,0.0,12.8684155369,0.027116358966628,84.7355906397,
908.609,2031.805944,0.0,12.6960504363,0.027116358966628,84.9034198166,
908.761,1998.387672,0.0,12.5917241912,0.027116358966628,85.0122819854,
908.914,2018.144808,0.0,12.5917241912,0.027116358966628,85.0122819854,
909.066,2041.629648,0.0,12.6189397334,0.027116358966628,84.9805305195,
909.218,2063.395416,0.0,12.6189397334,0.027116358966628,84.9805305195,
909.371,2060.999688,0.0,12.4375027854,0.027116358966628,85.1619674675,
909.523,2020.1382,0.0,12.4375027854,0.027116358966628,85.1619674675,
909.676,2008.942896,0.0,11.9385511784,0.027116358966628,85.6609190745,
909.828,2028.943872,0.0,11.9385511784,0.027116358966628,85.6609190745,
909.871,,,,,,
909.98,2050.779744,0.0,11.8115453148,0.027116358966628,85.7879249381,
910.133,2069.451792,0.0,11.8115453148,0.027116358966628,85.7879249381,
910.285,2053.401024,0.0,11.9793744917,0.027116358966628,85.6246316849,
910.438,2029.215144,0.0,11.9793744917,0.027116358966628,85.6246316849,
910.59,2043.610848,0.0,11.9566948732,0.027116358966628,85.6427753797,
910.742,2063.852616,0.0,11.8886560177,0.027116358966628,85.7153501589,
910.895,2083.722528,0.0,11.8886560177,0.027116358966628,85.7153501589,
911.047,2092.217304,0.0,11.8432967807,0.027116358966628,85.7561734722,
911.2,2051.636232,0.0,11.8432967807,0.027116358966628,85.7561734722,40.96
911.352,2028.236736,0.0,11.5348539691,0.027116358966628,86.0646162838,
911.504,2048.655288,0.0,11.5348539691,0.027116358966628,86.0646162838,
911.657,2069.034216,0.0,11.5938209772,0.027116358966628,86.0056492757,
911.809,2083.783488,0.0,11.5938209772,0.027116358966628,86.0056492757,
911.962,2071.777416,0.0,11.6391802142,0.027116358966628,85.9648259624,
912.114,2039.270496,0.0,11.6391802142,0.027116358966628,85.9648259624,
912.266,2039.886192,0.0,11.6391802142,0.027116358966628,85.9648259624,
912.419,2058.881328,0.0,11.6391802142,0.027116358966628,85.9648259624,
912.571,2072.536368,0.0,11.6210365194,0.027116358966628,85.9784337335,
912.724,2082.42408,0.0,11.6210365194,0.027116358966628,85.9784337335,
912.876,2052.008088,0.0,11.4804228847,0.027116358966628,86.1190473682,
913.013,,,,,,
913.028,2022.046248,0.0,11.657323909,0.027116358966628,85.9421463439,
913.181,2042.516616,0.0,11.657323909,0.027116358966628,85.9421463439,
913.333,2065.882584,0.0,11.7208268408,0.027116358966628,85.8786434121,
913.486,2083.021488,0.0,11.7208268408,0.027116358966628,85.8786434121,
913.638,2083.314096,0.0,11.6391802142,0.027116358966628,85.9602900387,
913.79,2045.412216,0.0,11.6391802142,0.027116358966628,85.9602900387,
913.943,2030.025912,0.0,11.6936112986,0.027116358966628,85.910394878,
914.095,2049.142968,0.0,11.6936112986,0.027116358966628,85.910394878,
914.248,2071.088568,0.0,11.8115453148,0.027116358966628,85.7879249381,
914.4,2091.046872,0.0,11.8115453148,0.027116358966628,85.7879249381,
914.552,2070.87216,0.0,11.8705123229,0.027116358966628,85.72895793,
914.705,2032.13208,0.0,11.8705123229,0.027116358966628,85.72895793,
914.857,2035.0734,0.0,11.8478327044,0.027116358966628,85.7516375485,
915.01,2051.892264,0.0,11.8478327044,0.027116358966628,85.7516375485,
915.162,2071.304976,0.0,11.9839104154,0.027116358966628,85.6155598375,
915.314,2085.04536,0.0,11.8251530859,0.027116358966628,85.774317167,
915.467,2046.262608,0.0,11.8251530859,0.027116358966628,85.774317167,
915.619,2017.571784,0.0,11.8886560177,0.027116358966628,85.7153501589,43.52
915.772,2043.66876,0.0,11.8886560177,0.027116358966628,85.7153501589,
915.924,2069.01288,0.0,11.9884463391,0.027116358966628,85.6155598375,
916.076,2082.66792,0.0,11.9884463391,0.027116358966628,85.6155598375,
916.156,,,,,,
916.229,2073.499536,0.0,12.2152425241,0.027116358966628,85.3887636525,
916.381,2036.1402,0.0,12.2152425241,0.027116358966628,85.3887636525,
916.534,2026.014744,0.0,12.4329668617,0.027116358966628,85.1710393149,
916.686,2041.117584,0.0,12.4329668617,0.027116358966628,85.1710393149,
916.838,1931.42616,0.0,12.1834910582,0.027116358966628,85.4205151184,
916.991,1705.362096,0.0,12.564508649,0.027116358966628,85.0349616039,
917.143,1235.421456,0.0,14.9005093545,0.027116358966628,82.6989608984,
917.296,814.757832,0.0,17.009713875,0.027116358966628,80.5942923016,
917.448,544.897056,0.0,13.3084001358,0.027116358966628,83.5698582488,
917.491,,,,,,
917.594,,,,,,
917.6,85.69452,0.0,0.0,0.027116358966628,85.093928612,
917.753,,107.53,2.0502375124,0.257605410182966,93.5352826177,
917.905,,140.0,1.9005520303,7.24006784408968,96.4700252516,
918.058,88.206072,140.0,2.2634259263,5.73510992144182,96.479097099,
918.21,88.169496,140.58,2.2634259263,5.613086306092,96.4246660146,
918.362,88.111584,140.38,2.0320938176,5.85713353679165,96.433737862,
918.515,88.172544,140.42,2.0683812072,6.11473894697462,96.4654893279,
918.667,88.440768,140.17,1.9867345806,6.33166981870764,96.4609534042,
918.82,88.425528,141.0,2.0184860465,5.78934263937508,96.4428097094,
918.972,88.324944,140.67,2.1590996812,6.31811163922433,96.4564174805,
919.124,88.340184,141.0,1.9731268095,5.66731902402525,96.4609534042,
