TIME,DEPT,DMEA,ROP,RPM,SWOB,TQA,HKLD,ECD_ARC_RT
2009-07-06T11:42:09.000Z,,,,,,,,
2009-07-06T11:42:14.000Z,,,,,,,,
2009-07-06T11:42:18.000Z,,,,,,,,
2009-07-06T11:42:23.000Z,,,,,,,,
2009-07-06T11:42:27.000Z,,,,,,,,
2009-07-06T11:42:32.000Z,,,,,,,,
2009-07-06T11:42:36.000Z,,,,,,,,
2009-07-06T11:42:41.000Z,,,,,,,,
2009-07-06T11:42:45.000Z,,,,,,,,
2009-07-06T11:42:50.000Z,,,,,,,,
2009-07-06T11:42:54.000Z,,,,,,,,
2009-07-06T11:42:59.000Z,,,,,,,,
2009-07-06T11:43:03.000Z,,,,,,,,
2009-07-06T11:43:08.000Z,,,,,,,,
2009-07-06T11:43:17.000Z,,,,,,,,
2009-07-06T11:43:21.000Z,,,,,,,,
2009-07-06T11:43:26.000Z,,,,,,,,
2009-07-06T11:43:30.000Z,,,,,,,,
2009-07-06T11:43:35.000Z,,,,,,,,
2009-07-06T11:43:44.000Z,,,,,,,,
2009-07-06T11:43:48.000Z,,,,,,,,
2009-07-06T11:43:53.000Z,,,,,,,,
2009-07-06T11:43:57.000Z,,,,,,,,
2009-07-06T11:44:02.000Z,,,,,,,,
2009-07-06T11:44:11.000Z,,,,,,,,
2009-07-06T11:44:15.000Z,,,,,,,,
2009-07-06T11:44:20.000Z,,,,,,,,
2009-07-06T11:44:24.000Z,,,,,,,,
2009-07-06T11:44:29.000Z,,,,,,,,
2009-07-06T11:44:33.000Z,,,,,,,,
2009-07-06T11:44:38.000Z,,,,,,,,
2009-07-06T11:44:42.000Z,,,,,,,,
2009-07-06T11:44:47.000Z,,,,,,,,
2009-07-06T11:44:51.000Z,,,,,,,,
2009-07-06T11:44:56.000Z,,,,,,,,
2009-07-06T11:45:00.000Z,,,,,,,,
2009-07-06T11:45:05.000Z,,,,,,,,
2009-07-06T11:45:09.000Z,,,,,,,,
2009-07-06T11:45:14.000Z,,,,,,,,
2009-07-06T11:45:18.000Z,,,,,,,,
2009-07-06T11:45:23.000Z,,,,,,,,
2009-07-06T11:45:27.000Z,,,,,,,,
2009-07-06T11:45:32.000Z,,,,,,,,
2009-07-06T11:45:36.000Z,,,,,,,,
2009-07-06T11:45:41.000Z,,,,,,,,
2009-07-06T11:45:45.000Z,,,,,,,,
2009-07-06T11:45:50.000Z,,,,,,,,
2009-07-06T11:45:54.000Z,,,,,,,,
2009-07-06T11:45:59.000Z,,,,,,,,
2009-07-06T11:46:03.000Z,,,,,,,,
2009-07-06T11:46:08.000Z,,,,,,,,
2009-07-06T11:46:12.000Z,,,,,,,,
2009-07-06T11:46:17.000Z,,,,,,,,
2009-07-06T11:46:21.000Z,,,,,,,,
2009-07-06T11:46:26.000Z,,,,,,,,
