DEPTH,PHIF,SW,VSH,KLOGH
3666.5916,0.199843,0.559,0.5988,0.0003
3666.744,0.218743,0.5131,0.599555,0.0
3666.8964,0.24238,0.4737,0.60031,0.0
3667.0488,0.226408,0.5054,0.601065,0.0
3667.2012,0.216169,0.536,0.60182,0.0
3667.3536,0.178107,0.6336,0.602575,0.0
3667.506,0.197236,0.6019,0.60333,0.0
3667.6584,0.218197,0.5688,0.604086,0.0
3667.8108,0.243449,0.5271,0.604841,0.0
3667.9632,0.259614,0.4964,0.605596,0.0
3668.1156,0.269317,0.4727,0.606351,0.0
3668.268,0.222229,0.5344,0.607106,0.0
3668.4204,0.219901,0.5344,0.607861,0.0
3668.5728,0.233816,0.5087,0.608616,0.0
3668.7252,0.236549,0.5002,0.609371,0.0
3668.8776,0.225313,0.5147,0.610126,0.0
3669.03,0.218307,0.5293,0.610881,0.0
3669.1824,0.225777,0.5262,0.611636,0.0
3669.3348,0.214561,0.56,0.612391,0.0
3669.4872,0.182385,0.6452,0.613146,0.0
3669.6396,0.179045,0.667,0.613901,0.0
3669.792,0.101918,1.0,0.614657,0.0
3669.9444,0.102684,1.0,0.615412,0.0
3670.0968,0.14553,0.8173,0.616167,0.0
3670.2492,0.206212,0.6385,0.616922,0.0
3670.4016,0.198419,0.6594,0.617677,0.0
3670.554,0.154475,0.7938,0.618432,0.0
3670.7064,0.164476,0.76,0.619187,0.0
3670.8588,0.114178,0.9968,0.619942,0.0
3671.0112,0.134864,0.8881,0.620697,0.0
3671.1636,0.140837,0.8621,0.621452,0.0
3671.316,0.207264,0.6455,0.622207,0.0
3671.4684,0.212882,0.6247,0.622962,0.0
3671.6208,0.19898,0.6476,0.623717,0.0
3671.7732,0.180182,0.6904,0.624472,0.0
3671.9256,0.181179,0.6856,0.625228,0.0
3672.078,0.138877,0.8335,0.625983,0.0
3672.2304,0.090513,1.0,0.626738,0.0
3672.3828,0.115492,0.9754,0.627493,0.0
3672.5352,0.158968,0.7884,0.628248,0.0
3672.6876,0.173063,0.7511,0.629003,0.0
3672.84,0.145807,0.8475,0.629758,0.0
3672.9924,0.350802,0.4359,0.630513,0.0001
3673.1448,0.359646,0.4156,0.631268,0.0002
3673.2972,0.235973,0.553,0.632023,0.0
3673.4496,0.210315,0.5961,0.632778,0.0
3673.602,0.20486,0.6077,0.633533,0.0
3673.7544,0.221975,0.5738,0.634288,0.0
3673.9068,0.202229,0.6124,0.635043,0.0
3674.0592,0.1652,0.7043,0.635798,0.0
3674.2116,0.138278,0.7925,0.636554,0.0
3674.364,0.185833,0.6301,0.637309,0.0
3674.5164,0.199409,0.5899,0.638064,0.0
3674.6688,0.201604,0.5759,0.638819,0.0
3674.8212,0.206433,0.5558,0.639574,0.0
3674.9736,0.201096,0.5558,0.640329,0.0
3675.126,0.194834,0.5608,0.641084,0.0
3675.2784,0.223006,0.5066,0.641839,0.0
3675.4308,0.215086,0.524,0.642594,0.0
3675.5832,0.238081,0.4921,0.643349,0.0
3675.7356,0.223178,0.521,0.644104,0.0
3675.888,0.233829,0.5073,0.644859,0.0
3676.0404,0.199062,0.5729,0.645614,0.0
3676.1928,0.199996,0.5692,0.646369,0.0
3676.3452,0.22035,0.5251,0.647125,0.0
3676.4976,0.194725,0.5691,0.64788,0.0
3676.65,0.234788,0.4956,0.648635,0.0
3676.8024,0.247799,0.4788,0.64939,0.0
3676.9548,0.169128,0.635,0.650145,0.0
3677.1072,0.202555,0.5552,0.6509,0.0
3677.2596,0.223573,0.5129,0.651655,0.0
3677.412,0.197416,0.5587,0.65241,0.0
3677.5644,0.209093,0.5359,0.653165,0.0
3677.7168,0.189326,0.5772,0.65392,0.0
3677.8692,0.212275,0.5296,0.654675,0.0
3678.0216,0.230038,0.4957,0.65543,0.0
3678.174,0.225823,0.4989,0.656185,0.0
3678.3264,0.222593,0.503,0.65694,0.0
3678.4788,0.215083,0.5154,0.657696,0.0
3678.6312,0.205415,0.5328,0.658451,0.0
