DEPTH,GR,RT,RHOB,NPHI,DTS
3100.0,8.179,7.998,2.626,0.059,107.758
3100.1,8.153,7.942,2.624,0.06,108.708
3100.2,7.85,7.904,2.625,0.061,109.892
3100.3,8.041,7.904,2.625,0.063,111.168
3100.4,8.153,7.879,2.626,0.064,112.528
3100.5,9.215,7.879,2.625,0.065,112.729
3100.6,9.538,7.838,2.624,0.066,112.832
3100.7,9.732,7.747,2.622,0.066,114.01
3100.8,8.972,7.745,2.621,0.067,114.574
3100.9,7.938,7.74,2.622,0.067,114.601
3101.0,7.577,7.724,2.624,0.066,113.345
3101.1,7.972,7.699,2.626,0.067,113.08
3101.2,7.824,7.68,2.624,0.068,113.346
3101.3,8.164,7.625,2.62,0.07,113.546
3101.4,7.763,7.639,2.619,0.07,113.566
3101.5,7.539,7.62,2.62,0.07,113.487
3101.6,8.137,7.564,2.623,0.068,113.667
3101.7,8.068,7.499,2.623,0.066,113.709
3101.8,7.838,7.459,2.621,0.065,113.646
3101.9,7.343,7.466,2.617,0.063,113.831
3102.0,7.264,7.49,2.614,0.063,113.501
3102.1,7.328,7.493,2.612,0.062,112.664
3102.2,6.071,7.515,2.612,0.061,112.406
3102.3,6.097,7.53,2.614,0.061,112.101
3102.4,6.728,7.562,2.617,0.061,111.724
3102.5,7.23,7.575,2.62,0.061,111.132
3102.6,7.126,7.567,2.622,0.058,110.616
3102.7,6.658,7.548,2.622,0.057,110.236
3102.8,6.841,7.518,2.619,0.056,109.556
3102.9,6.343,7.463,2.617,0.054,108.955
3103.0,5.784,7.433,2.616,0.053,108.566
3103.1,6.132,7.425,2.617,0.052,108.098
3103.2,5.07,7.388,2.618,0.054,107.662
3103.3,4.537,7.367,2.619,0.054,107.33
3103.4,5.43,7.32,2.62,0.054,107.065
3103.5,5.712,7.265,2.622,0.054,106.897
3103.6,6.299,7.229,2.626,0.053,106.948
3103.7,5.417,7.196,2.63,0.053,107.059
3103.8,6.256,7.142,2.633,0.053,107.273
3103.9,5.963,7.103,2.634,0.053,107.786
3104.0,5.776,7.037,2.633,0.052,108.036
3104.1,5.848,6.954,2.629,0.052,108.277
3104.2,5.615,6.904,2.627,0.052,109.062
3104.3,4.694,6.857,2.626,0.052,109.57
3104.4,4.988,6.821,2.626,0.052,109.885
3104.5,5.131,6.799,2.627,0.053,109.915
3104.6,4.399,6.781,2.626,0.054,109.372
3104.7,4.893,6.776,2.623,0.055,108.512
3104.8,5.854,6.742,2.621,0.055,108.572
