DEPTH,GR,RT,RHOB,NPHI,DT
3000.1464,38.6696014,6.51660013,2.26579999,0.06419999,61.8888015
3000.2988,37.5560989,7.04710006,2.25489997,0.06219999,62.9005012
3000.4512,37.2551994,7.36240005,2.28530001,0.06319999,63.3027992
3000.6036,36.5630989,7.73960018,2.26869988,0.06499999,63.6990013
3000.756,37.6764984,8.04870033,2.29949998,0.0656,63.3923988
3000.9084,35.4796981,8.20160007,2.28590011,0.0662,62.203701
3001.0608,34.1556015,8.31929969,2.29189991,0.0665,58.2117004
3001.2132,34.8778991,8.33940029,2.28690004,0.06809999,64.1389007
3001.3656,37.0746994,8.06190013,2.29399991,0.07119999,68.9316024
3001.518,38.2784004,7.86549997,2.29999995,0.07289999,66.5897979
3001.6704,39.3616981,7.49469995,2.29349994,0.07349999,64.1073989
3001.8228,37.8571014,7.80690002,2.2802999,0.07429999,62.2490997
3001.9752,37.7667999,7.99069976,2.27629995,0.0744,63.5857009
3002.1276,35.8708992,7.66419982,2.26029992,0.07129999,64.8796997
3002.28,34.7876014,7.69239997,2.30469989,0.0649,60.7691993
3002.4324,33.1926002,7.80270004,2.36829996,0.0584,60.7361984
3002.5848,31.6879997,7.82320022,2.41950011,0.05669999,64.9129028
3002.7372,32.7713012,7.87370014,2.37960004,0.0577,66.7610015
3002.8896,36.5630989,7.78739976,2.3354001,0.0627,64.1540985
3003.042,39.8732986,7.72709989,2.30749988,0.06989999,62.9105987
3003.1944,43.7854003,5.99410009,2.31130003,0.08139999,62.9023017
3003.3468,46.0122985,4.00670003,2.29629993,0.0943,73.327301
3003.4992,48.8110008,3.85249996,2.30620002,0.1039,73.3729019
3003.6516,47.2160987,4.07329988,2.29809999,0.1084,69.8638
3003.804,45.5007019,3.49819993,2.29390001,0.10429999,71.0147018
3003.9564,39.3917999,2.94020009,2.26679992,0.0846,66.6265029
3004.1088,34.6671981,4.46010017,2.27509999,0.0635,65.7531967
3004.2612,28.9494991,7.25939989,2.28099989,0.04989999,58.8126983
3004.4136,27.8360996,8.53689956,2.30999994,0.04529999,57.3039016
3004.566,27.0235004,9.17169952,2.29719996,0.04549999,54.4126014
3004.7184,26.8129005,9.5557003,2.29320001,0.0483,53.9894981
3004.8708,25.1277008,10.1428003,2.28270006,0.05059999,57.2813987
3005.0232,25.4587001,10.9893999,2.28710007,0.0537,61.2224998
3005.1756,26.9633007,10.8857002,2.31220006,0.05669999,58.5796012
3005.328,30.5744991,10.9996004,2.33899998,0.0575,58.7613983
3005.4804,33.5838012,10.8945999,2.29909992,0.0577,58.1829986
3005.6328,37.2853012,10.3253002,2.30100011,0.05869999,63.9962997
3005.7852,38.7900009,10.3044996,2.25670003,0.06369999,67.2629013
3005.9376,42.1002006,10.6943998,2.3197,0.07259999,65.8822021
3006.09,42.7322006,8.16899967,2.28489995,0.08209999,66.2701034
3006.2424,47.336399,7.11999988,2.30640006,0.09019999,66.5033035
3006.3948,46.9151,5.86079978,2.29349994,0.0942,69.827301
3006.5472,46.4938011,4.83249998,2.3104,0.0934,71.9494018
3006.6996,41.6789016,4.3583002,2.3190999,0.08649999,70.7107009
3006.852,38.0676994,4.04239988,2.29629993,0.08269999,69.8501968
