DEPTH,GR,RT,RHOB,NPHI,PEF
2800.0,3.6318,2.4172,,,
2800.1,3.0361,2.0735,,,
2800.2,3.1495,1.8307,,,
2800.3,2.8647,1.7473,,,
2800.4,2.1045,1.7796,,,
2800.5,2.7868,1.875,,,
2800.6,3.3128,1.9975,,,
2800.7,2.7267,2.2303,,,
2800.8,3.5351,2.6231,,,
2800.9,3.5003,2.7713,,,
2801.0,2.3557,2.8533,,,
2801.1,3.1232,2.8884,,,
2801.2,3.2923,2.8533,,,
2801.3,4.2615,2.883,,,
2801.4,4.3268,2.9434,,,
2801.5,4.0962,2.9735,,,
2801.6,4.0973,2.7494,,,
2801.7,4.3116,2.5864,,,
2801.8,4.1765,2.3565,,,
2801.9,4.8364,2.0994,,,
2802.0,4.5784,1.8888,,,
2802.1,4.6612,1.8857,,,
2802.2,4.2982,1.9408,,,
2802.3,3.6326,1.894,,,
2802.4,3.7909,1.8031,,,
2802.5,2.7888,1.7133,,,
2802.6,3.3616,1.654,,,
2802.7,3.816,1.567,,,
2802.8,4.2326,1.544,,,
2802.9,3.7573,1.6115,,,
2803.0,3.5964,1.7644,,,
2803.1,4.2398,2.003,,,
2803.2,5.3107,2.1848,,,
2803.3,5.616,2.2699,,,
2803.4,6.1578,2.2815,,,
2803.5,5.6482,2.266,,,
2803.6,4.5343,2.1821,,,
2803.7,4.0717,2.0888,,,
2803.8,4.3114,2.0254,,,
2803.9,4.091,2.0599,,,
2804.0,3.7907,2.1593,,,
2804.1,3.5641,2.2195,,,
2804.2,3.9932,2.1829,,,
2804.3,4.2901,2.2131,,,
2804.4,4.4214,2.2333,,,
2804.5,4.021,2.2354,,,
2804.6,2.9293,2.2376,,,
2804.7,2.1066,2.2517,,,
2804.8,2.9337,2.2823,,,
2804.9,4.3024,2.313,,,
2805.0,4.2609,2.3354,,,
2805.1,3.7878,2.1851,,,
2805.2,4.1221,2.0913,,,
2805.3,3.8518,2.0397,,,
2805.4,4.7334,1.9898,,,
